Ð§¹û	ÊÇ·ñÇ°×º	ÎåÐÐÒªÇó	µÈ¼¶ÒªÇó	ÊôÐÔµ÷ÕûÀà±ð	²ÎÊý1×îÐ¡Öµ	²ÎÊý1×î´óÖµ	²ÎÊý2×îÐ¡Öµ	²ÎÊý2×î´óÖµ	²ÎÊý3×îÐ¡Öµ	²ÎÊý3×î´óÖµ	Ð§¹ûËµÃ÷
¼õÉÙÑ£ÔÎÊ±¼ä2				110	25	40	-1	-1	0	0	0
¼õÉÙÑ£ÔÎÊ±¼ä3				110	40	50	-1	-1	0	0	0
¼õÉÙÑ£ÔÎÊ±¼ä4				110	60	80	-1	-1	0	0	0
¼õÉÙ±ù¶³Ê±¼ä1				106	-10	10	-1	-1	0	0	0
¼õÉÙ±ù¶³Ê±¼ä2				106	25	40	-1	-1	0	0	0
¼õÉÙ±ù¶³Ê±¼ä3				106	35	50	-1	-1	0	0	0
¼õÉÙ±ù¶³Ê±¼ä4				106	60	80	-1	-1	0	0	0
´ò»÷»Ø¸´1				113	20	30	-1	-1	0	0	0
´ò»÷»Ø¸´2				113	25	40	-1	-1	0	0	0
´ò»÷»Ø¸´3				113	35	50	-1	-1	0	0	0
´ò»÷»Ø¸´4				113	40	60	-1	-1	0	0	0
Íâ¹¦¹¥ËÙ1				115	10	20	-1	-1	0	0	0
Íâ¹¦¹¥ËÙ2				115	20	40	-1	-1	0	0	0
Íâ¹¦¹¥ËÙ3				115	25	40	-1	-1	0	0	0
Íâ¹¦¹¥ËÙ4				115	30	60	-1	-1	0	0	0
ÍâÆÕ%1				126	-25	25	-1	-1	6	6	0
ÍâÆÕ%2				126	50	100	-1	-1	6	6	0
ÍâÆÕ%3				126	80	120	-1	-1	6	6	0
ÍâÆÕ%4				126	100	150	-1	-1	6	6	0
ÃüÖÐ1				166	-100	100	-1	-1	0	0	0
ÃüÖÐ2				166	180	300	-1	-1	0	0	0
ÃüÖÐ3				166	240	360	-1	-1	0	0	0
ÃüÖÐ4				166	450	600	-1	-1	0	0	0
Á¦Á¿1				97	-15	5	-1	-1	0	0	0
Á¦Á¿2				97	12	20	-1	-1	0	0	0
Á¦Á¿3				97	16	24	-1	-1	0	0	0
Á¦Á¿4				97	30	40	-1	-1	0	0	0
Íâ¹¦1				99	-15	5	-1	-1	0	0	0
Íâ¹¦2				99	12	20	-1	-1	0	0	0
Íâ¹¦3				99	16	24	-1	-1	0	0	0
Íâ¹¦4				99	30	40	-1	-1	0	0	0
ÄÚ¹¦1				100	-15	5	-1	-1	0	0	0
ÄÚ¹¦2				100	12	20	-1	-1	0	0	0
ÄÚ¹¦3				100	16	24	-1	-1	0	0	0
ÄÚ¹¦4				100	30	40	-1	-1	0	0	0
Éí·¨1				98	-15	5	-1	-1	0	0	0
Éí·¨2				98	12	20	-1	-1	0	0	0
Éí·¨3				98	16	24	-1	-1	0	0	0
Éí·¨4				98	30	40	-1	-1	0	0	0
ÍâÆÕµãÊý1				121	30	50	-1	-1	0	0	0
ÍâÆÕµãÊý2				121	40	60	-1	-1	0	0	0
ÍâÆÕµãÊý3				121	50	60	-1	-1	0	0	0
Íâ±ùµãÊý1				123	60	100	-1	-1	0	0	0
Íâ±ùµãÊý2				123	80	120	-1	-1	0	0	0
Íâ±ùµãÊý3				123	150	200	-1	-1	0	0	0
Íâ¶¾µãÊý1				125	20	30	-1	-1	0	0	0
Íâ¶¾µãÊý2				125			-1	-1	0	0	0
Íâ¶¾µãÊý3				125			-1	-1	0	0	0
»ð·À1				102	-5	5	-1	-1	0	0	0
»ð·À2				102	20	25	-1	-1	0	0	0
»ð·À3				102	20	30	-1	-1	0	0	0
»ð·À4				102	35	50	-1	-1	0	0	0
±ù·À1				105	-5	5	-1	-1	0	0	0
±ù·À2				105	15	25	-1	-1	0	0	0
±ù·À3				105	20	30	-1	-1	0	0	0
±ù·À4				105	35	50	-1	-1	0	0	0
À×·À1				103	-5	5	-1	-1	0	0	0
À×·À2				103	15	25	-1	-1	0	0	0
À×·À3				103	25	30	-1	-1	0	0	0
À×·À4				103	35	50	-1	-1	0	0	0
¶¾·À1				101	-5	5	-1	-1	0	0	0
¶¾·À2				101	15	25	-1	-1	0	0	0
¶¾·À3				101	20	30	-1	-1	0	0	0
¶¾·À4				101	35	50	-1	-1	0	0	0
ÆÕ·À1				104	-5	5	-1	-1	0	0	0
ÆÕ·À2				104	15	25	-1	-1	0	0	0
ÆÕ·À3				104	20	30	-1	-1	0	0	0
ÆÕ·À4				104	30	50	-1	-1	0	0	0
ÐÒÔË1				135	6	10	-1	-1	0	0	0
ÐÒÔË2				135	8	12	-1	-1	0	0	0
ÐÒÔË3				135	15	25	-1	-1	0	0	0
ÅÜËÙ1				111	-10	10	-1	-1	0	0	0
ÅÜËÙ2				111	25	40	-1	-1	0	0	0
ÅÜËÙ3				111	35	50	-1	-1	0	0	0
ÅÜËÙ4				111	40	50	-1	-1	0	0	0
È«¿¹1				114	-5	5	-1	-1	0	0	0
È«¿¹2				114	12	20	-1	-1	0	0	0
È«¿¹3				114	16	24	-1	-1	0	0	0
È«¿¹4				114	30	40	-1	-1	0	0	0
ÎüÑª1				136	2	6	-1	-1	0	0	0
ÎüÑª2				136	4	8	-1	-1	0	0	0
ÎüÑª3				136	6	10	-1	-1	0	0	0
ÎüÄÚ1				137	2	10	-1	-1	0	0	0
ÎüÄÚ2				137	4	8	-1	-1	0	0	0
ÎüÄÚ3				137	8	12	-1	-1	0	0	0
ÎïÀíÉËº¦ÎüÊÕ1				134	8	12	-1	-1	0	0	0
ÎïÀíÉËº¦ÎüÊÕ2				134	1	1	-1	-1	0	0	0
ÎïÀíÉËº¦ÎüÊÕ3				134	1	1	-1	-1	0	0	0
±ùÉËº¦ÎüÊÕ1				134	1	1	-1	-1	0	0	0
±ùÉËº¦ÎüÊÕ2				134	1	1	-1	-1	0	0	0
±ùÉËº¦ÎüÊÕ3				134	1	1	-1	-1	0	0	0
»ðÉËº¦ÎüÊÕ1				134	1	1	-1	-1	0	0	0
»ðÉËº¦ÎüÊÕ2				134	1	1	-1	-1	0	0	0
»ðÉËº¦ÎüÊÕ3				134	1	1	-1	-1	0	0	0
À×ÉËº¦ÎüÊÕ1				134	1	1	-1	-1	0	0	0
À×ÉËº¦ÎüÊÕ2				134	1	1	-1	-1	0	0	0
À×ÉËº¦ÎüÊÕ3				134	1	1	-1	-1	0	0	0
Ëõ¶Ì¶¾·¢¼ä¸ô1				164	10	20	-1	-1	0	0	0
Ëõ¶ÌÊ©·¨ËÙ¶È				116	24	36	-1	-1	0	0	0
ÓÀ²»Ä¥Ëð				43	1	1	-1	-1	0	0	0
È«¼¼ÄÜ1				139	1	1	-1	-1	0	0	0
È«¼¼ÄÜ2				139	2	2	-1	-1	0	0	0
È«¼¼ÄÜ3				139	3	3	-1	-1	0	0	0
»áÐÄÂÊ1				146	5	10	-1	-1	0	0	0
»áÐÄÂÊ2				146	8	12	-1	-1	0	0	0
ºöÂÔÉÁ±Ü1				58	1	2	-1	-1	0	0	0
ºöÂÔÉÁ±Ü2				58	8	12	-1	-1	0	0	0
·´µ¯1				117	5	10	-1	-1	0	0	0
·´µ¯2				117	8	12	-1	-1	0	0	0
·´µ¯3				117	12	16	-1	-1	0	0	0
ÄÚÆÕÉË1				168			-1	-1	0	0	0
ÄÚÆÕÉË2				168			-1	-1	0	0	0
ÄÚÆÕÉË3				168			-1	-1	0	0	0
ÄÚ¶¾ÉË1				172	20	30	-1	-1	0	0	0
ÄÚ¶¾ÉË2				172			-1	-1	0	0	0
ÄÚ¶¾ÉË3				172			-1	-1	0	0	0
ÄÚ±ùÉË1				169	120	200	-1	-1	0	0	0
ÄÚ±ùÉË2				169	160	240	-1	-1	0	0	0
ÄÚ±ùÉË3				169	200	300	-1	-1	0	0	0
ÄÚ»ðÉË1				170			-1	-1	0	0	0
ÄÚ»ðÉË2				170	80	120	-1	-1	0	0	0
ÄÚ»ðÉË3				170	120	200	-1	-1	0	0	0
ÄÚµçÉË1				171	200	300	-1	-1	0	0	0
ÄÚµçÉË2				171	100	150	-1	-1	0	0	0
ÄÚµçÉË3				171	120	180	-1	-1	0	0	0
ÈçÀ´Ç§Ò¶1				139	1	3	-1	-1	273	273	0
ÌìÍõÕ½Òâ				139	1	3	-1	-1	36	36	0
·ð·¨ÎÞ±ß1				139	1	3	-1	-1	252	252	0
·ðÐÄ´ÈÓÓ				139	1	3	-1	-1	92	92	0
±ù¹ÇÑ©ÐÄ1				139	1	3	-1	-1	114	114	0
Îå¶¾Ææ¾­				139	1	3	-1	-1	75	75	0
´©ÐÄ¶¾´Ì				139	1	3	-1	-1	72	72	0
ÐÄÑÛ1				139	1	3	-1	-1	48	48	0
º®±ù´Ì				139	1	3	-1	-1	345	345	0
×íµú¿ñÎè1				139	1	3	-1	-1	130	130	0
ÌìÄ§½âÌå1				139	1	3	-1	-1	150	150	0
±¯ËÖÇå·ç1				139	1	3	-1	-1	364	364	0
Ì«¼«Éñ¹¦1				139	1	3	-1	-1	166	166	0
Ëª°ÁÀ¥ÂØ1				139	1	3	-1	-1	275	275	0
î¿°í·û				139	1	3	-1	-1	174	174	0
ÉÙÁÖÈ­·¨1				139	1	3	-1	-1	8	8	0
Áú×¦»¢×¥				139	1	3	-1	-1	271	271	0
ÐÐÁú²»Óê				139	1	3	-1	-1	14	14	0
ÂÞººÕó				139	1	3	-1	-1	16	16	0
Ò×½î¾­				139	1	3	-1	-1	21	21	0
ÉÙÁÖ¹÷·¨				139	1	3	-1	-1	4	4	0
ºáÉ¨ÁùºÏ				139	1	3	-1	-1	11	11	0
½ð¸Õ·üÄ§				139	1	3	-1	-1	10	10	0
ÉÙÁÖµ¶·¨				139	1	3	-1	-1	6	6	0
Ä¦Ú­ÎÞÁ¿				139	1	3	-1	-1	19	19	0
ÌìÍõ´¸·¨				139	1	3	-1	-1	26	26	0
ÎÞÐÄÕ¶				139	1	3	-1	-1	32	32	0
¾ªÀ×Õ¶				139	1	3	-1	-1	34	34	0
ÆÃ·çÕ¶				139	1	3	-1	-1	37	37	0
½ðÖÓÕÖ				139	1	3	-1	-1	42	42	0
ÌìÍõÇ¹·¨				139	1	3	-1	-1	23	23	0
ÑªÕ½°Ë·½				139	1	3	-1	-1	41	41	0
ÌìÍõµ¶·¨				139	1	3	-1	-1	24	24	0
»Ø·çÂäÑã				139	1	3	-1	-1	30	30	0
Ñô¹ØÈýµþ				139	1	3	-1	-1	35	35	0
³ËÁú¾÷				139	1	3	-1	-1	324	324	0
Õ¶Áú¾÷				139	1	3	-1	-1	29	29	0
ÐÐÔÆ¾÷				139	1	3	-1	-1	31	31	0
¶ëáÒ½£·¨				139	1	3	-1	-1	77	77	0
²»Ãð²»¾ø				139	1	3	-1	-1	88	88	0
Æ®Ñ©´©ÔÆ				139	1	3	-1	-1	80	80	0
Ò»Ò¶ÖªÇï				139	1	3	-1	-1	85	85	0
Á÷Ë®				139	1	3	-1	-1	86	86	0
¶ëáÒÕÆ·¨1				139	1	3	-1	-1	79	79	0
ËÄÏóÍ¬¹é				139	1	3	-1	-1	82	82	0
·ð¹âÆÕÕÕ1				139	1	3	-1	-1	91	91	0
ÇåÒôèó³ª				139	1	3	-1	-1	282	282	0
½ð¶¥·ð¹â				139	1	3	-1	-1	82	82	0
´Èº½ÆÕ¶É				139	1	3	-1	-1	93	93	0
´äÑÌµ¶·¨				139	1	3	-1	-1	95	95	0
ÄÁÒ°Á÷ÐÇ				139	1	3	-1	-1	108	108	0
·ç»¨Ñ©ÔÂ				139	1	3	-1	-1	99	99	0
Óê´òÀæ»¨				139	1	3	-1	-1	105	105	0
Ì¤Ñ©ÎÞºÛ				139	1	3	-1	-1	270	270	0
´äÑÌË«µ¶1				139	1	3	-1	-1	97	97	0
·ç¾í²ÐÑ©				139	1	3	-1	-1	102	102	0
¸¡ÔÆÉ¢Ñ©				139	1	3	-1	-1	113	113	0
ÌÆÃÅ°µÆ÷				139	1	3	-1	-1	43	43	0
Ð¡Àî·Éµ¶				139	1	3	-1	-1	249	249	0
Åùö¨µ¯				139	1	3	-1	-1	45	45	0
×·ÐÄ¼ý				139	1	3	-1	-1	50	50	0
ÌìÂÞµØÍø				139	1	3	-1	-1	58	58	0
ÂþÌì»¨Óê				139	1	3	-1	-1	54	54	0
É¢»¨ïÚ				139	1	3	-1	-1	341	341	0
¶á»êïÚ				139	1	3	-1	-1	47	47	0
ÎåÐÐÏÝÚå				43	1	3	-1	-1	0	0	0
µØÑæ»ð1				139	1	3	-1	-1	347	347	0
¶¾´Ì¹Ç1				139	1	3	-1	-1	303	303	0
´©ÐÄ´Ì				139	1	3	-1	-1	343	343	0
À×»÷Êõ				139	1	3	-1	-1	349	349	0
Îå¶¾ÕÆ·¨				139	1	3	-1	-1	62	62	0
Ììî¸µØÉ·ÊÖ				139	1	3	-1	-1	71	71	0
¶¾É°ÕÆ				139	1	3	-1	-1	63	63	0
ÓÄÚ¤÷¼÷Ã				139	1	3	-1	-1	68	68	0
Íò¹ÆÊ´ÐÄ1				139	1	3	-1	-1	73	73	0
Îå¶¾µ¶·¨				139	1	3	-1	-1	60	60	0
Öì¸òÇàÚ¤				139	1	3	-1	-1	74	74	0
Ñªµ¶¶¾É±				139	1	3	-1	-1	65	65	0
´©ÒÂÆÆ¼×				139	1	3	-1	-1	356	356	0
¾ÅÌì¿ñÀ×1				139	1	3	-1	-1	67	67	0
±ùÀ¶Ðþ¾§				139	1	3	-1	-1	64	64	0
³àÑ×Ê´Ìì				139	1	3	-1	-1	70	70	0
Ø¤°ïÕÆ·¨				139	1	3	-1	-1	116	116	0
¿ºÁúÓÐ»Ú1				139	1	3	-1	-1	128	128	0
¼ûÈËÉìÊÖ				139	1	3	-1	-1	122	122	0
½µÁúÕÆ				139	1	3	-1	-1	274	274	0
»¬²»ÁôÊÖ				139	1	3	-1	-1	277	277	0
Ø¤°ï°ô·¨				139	1	3	-1	-1	115	115	0
ÑØÃÅÍÐ²§				139	1	3	-1	-1	119	119	0
´ò¹·Õó				139	1	3	-1	-1	124	124	0
ÌìÈÌÃ¬·¨				139	1	3	-1	-1	132	132	0
ÍµÌì»»ÈÕ				139	1	3	-1	-1	142	142	0
²ÐÑôÈçÑª				139	1	3	-1	-1	135	135	0
ÁÒ»ðÇéÌì				139	1	3	-1	-1	141	141	0
ÎåÐÐÕó				139	1	3	-1	-1	146	146	0
ÌìÈÌµ¶·¨				139	1	3	-1	-1	131	131	0
Ä§Ñ×ÆßÉ±1				139	1	3	-1	-1	148	148	0
µ¯Ö¸ÁÒÑæ				139	1	3	-1	-1	145	145	0
ÍÆÉ½Ìîº£1				139	1	3	-1	-1	138	138	0
À÷Ä§¶á»ê				139	1	3	-1	-1	143	143	0
»ðÁ«·Ù»ª				139	1	3	-1	-1	136	136	0
»ÃÓ°·Éºü				139	1	3	-1	-1	137	137	0
·ÉºèÎÞ¼£1				139	1	3	-1	-1	140	140	0
Îäµ±½£·¨				139	1	3	-1	-1	151	151	0
Èý»·Ì×ÔÂ				139	1	3	-1	-1	267	267	0
²×º£Ã÷ÔÂ				139	1	3	-1	-1	155	155	0
½£·É¾ªÌì				139	1	3	-1	-1	158	158	0
ÌÝÔÆ×Ý				139	1	3	-1	-1	160	160	0
Îäµ±È­·¨				139	1	3	-1	-1	152	152	0
ÎÞÎÒÎÞ½£1				139	1	3	-1	-1	165	165	0
Å­À×Ö¸				139	1	3	-1	-1	153	153	0
°þ¼°¶ø¸´1				139	1	3	-1	-1	164	164	0
À¥ÂØµ¶·¨				139	1	3	-1	-1	167	167	0
¿ñ·çÖèµç				139	1	3	-1	-1	176	176	0
ºô·ç·¨				139	1	3	-1	-1	169	169	0
Ò»ÆøÈýÇå·û				139	1	3	-1	-1	178	178	0
Çå·ç·û1				139	1	3	-1	-1	171	171	0
À¥ÂØ½£·¨				139	1	3	-1	-1	168	168	0
ÎåÀ×Õý·¨				139	1	3	-1	-1	182	182	0
¿ñÀ×ÕðµØ				139	1	3	-1	-1	179	179	0
Ìì¼ÊÑ¸À×				139	1	3	-1	-1	172	172	0
ÆÛº®°ÁÑ©				139	1	3	-1	-1	175	175	0
×íÏÉ´í¹Ç				43	1	3	-1	-1	0	0	0
ÌìÇåµØ×Ç1				139	1	3	-1	-1	173	173	0
ÆúÐÄ·û				139	1	3	-1	-1	181	181	0
¶Ï»ê´Ì				139	1	3	-1	-1	40	40	0
¾²ÐÄ¾÷				139	1	3	-1	-1	33	33	0
Ñ©Ó°				139	1	3	-1	-1	109	109	0
ÎÞÐÎ¹Æ				139	1	3	-1	-1	69	69	0
»ÛÑÛÖä				139	1	3	-1	-1	18	18	0
×øÍûÎÞÎÒ				139	1	3	-1	-1	157	157	0
´¿ÑôÐÄ·¨				139	1	3	-1	-1	156	156	0
ÆßÐÇÕó				139	1	3	-1	-1	159	159	0
ÌÝÔÆ×Ý				139	1	3	-1	-1	160	160	0
°ô´ò¶ñ¹·				139	1	3	-1	-1	125	125	0
åÐÒ£¹¦				43	1	3	-1	-1	0	0	0
±Ìº£³±Éú				139	1	3	-1	-1	111	111	0
½ü·´1				118	5	10	-1	-1	0	0	0
½ü·´2				118	8	12	-1	-1	0	0	0
½ü·´3				118	12	16	-1	-1	0	0	0
Ô¶·´1				120	5	10	-1	-1	0	0	0
Ô¶·´2				120	8	12	-1	-1	0	0	0
Ô¶·´3				120	12	16	-1	-1	0	0	0
Á¦Á¿5				97	-55	5	-1	-1	0	0	0
Íâ¹¦5				99	-55	5	-1	-1	0	0	0
ÄÚ¹¦5				100	-55	5	-1	-1	0	0	0
Éí·¨5				98	-55	5	-1	-1	0	0	0
ÄÚ¹¦¹¥ËÙ1				116	10	20	-1	-1	0	0	0
ÄÚ¹¦¹¥ËÙ2				116	18	30	-1	-1	0	0	0
ÄÚ¹¦¹¥ËÙ3				116	20	40	-1	-1	0	0	0
ÄÚ¹¦¹¥ËÙ4				116	45	60	-1	-1	0	0	0
´ò»÷»Ø¸´5				113	40	50	-1	-1	0	0	0
ÆÕ·À5				104	25	30	-1	-1	0	0	0
ÅÜËÙ5				111	36	45	-1	-1	0	0	0
¼õÉÙ±ù¶³Ê±¼ä5				106	40	50	-1	-1	0	0	0
È«¿¹5				114	15	20	-1	-1	0	0	0
»ð·À5				102	25	30	-1	-1	0	0	0
±ù·À5				105	25	30	-1	-1	0	0	0
¶¾·À5				101	25	30	-1	-1	0	0	0
ÉúÃü5				85	80	120	-1	-1	0	0	0
ÐÒÔË4				135	1	2	-1	-1	0	0	0
ÐÒÔË5				135	1	3	-1	-1	0	0	0
ÆÕ·À6				104	20	25	-1	-1	0	0	0
Á¦Á¿6				97	8	12	-1	-1	0	0	0
Éí·¨6				98	8	12	-1	-1	0	0	0
ÅÜËÙ6				111	40	60	-1	-1	0	0	0
±ù·À6				105	20	25	-1	-1	0	0	0
¶¾·À6				101	20	25	-1	-1	0	0	0
²»¶¯Ã÷Íõ				139	1	3	-1	-1	15	15	0
´ïÄ¦¶É½­1				139	1	3	-1	-1	318	318	0
ºáÉ¨Ç§¾ü				139	1	3	-1	-1	319	319	0
ÎÞÏàÕ¶				139	1	3	-1	-1	321	321	0
ÆÆÌìÕ¶				139	1	3	-1	-1	322	322	0
ÍÆ´°ÍûÔÂ				139	1	3	-1	-1	385	385	0
Èý¶ëö«Ñ©				139	1	3	-1	-1	328	328	0
·çËªËéÓ°				139	1	3	-1	-1	380	380	0
ÃÎµû1				139	1	3	-1	-1	89	89	0
ÆÕ¶ÉÖÚÉú				139	1	3	-1	-1	332	332	0
±ù×ÙÎÞÓ°				139	1	3	-1	-1	336	336	0
Òõ·çÊ´¹Ç				139	1	3	-1	-1	353	353	0
°Ù¶¾´©ÐÄ				139	1	3	-1	-1	384	384	0
ÐþÒõÕ¶				139	1	3	-1	-1	355	355	0
¶Ï½î¸¯¹Ç				139	1	3	-1	-1	390	390	0
Éå»êÔÂÓ°				139	1	3	-1	-1	339	339	0
±©ÓêÀæ»¨				139	1	3	-1	-1	302	302	0
¾Å¹¬·ÉÐÇ				139	1	3	-1	-1	342	342	0
ÂÒ»·»÷				139	1	3	-1	-1	351	351	0
·ÉÁúÔÚÌì				139	1	3	-1	-1	357	357	0
ÌìÏÂÎÞ¹·				139	1	3	-1	-1	359	359	0
ÔÆÁú»÷				139	1	3	-1	-1	361	361	0
ÌìÍâÁ÷ÐÇ				139	1	3	-1	-1	362	362	0
Éå»êÂÒÐÄ1				139	1	3	-1	-1	391	391	0
ÌìµØÎÞ¼«1				139	1	3	-1	-1	365	365	0
ÈË½£ºÏÒ»				139	1	3	-1	-1	368	368	0
°ÁÑ©Ð¥·ç				139	1	3	-1	-1	372	372	0
À×¶¯¾ÅÌì				139	1	3	-1	-1	375	375	0
Êø¸¿Öä1				139	1	3	-1	-1	392	392	0
±±Ú¤µ½º£1				139	1	3	-1	-1	393	393	0
ÃÔ×Ù»ÃÓ°				139	1	3	-1	-1	90	90	0
×íÏÉ´í¹Ç				139	1	3	-1	-1	394	394	0
À×·À5				103	6	12	-1	-1	0	0	0
À×·À6				103	6	18	-1	-1	0	0	0
»ð·À6				102	5	10	-1	-1	0	0	0
»ð·À7				102	5	15	-1	-1	0	0	0
ÆÕ·À7				104	5	8	-1	-1	0	0	0
±ù·À7				105	5	15	-1	-1	0	0	0
¶¾·À7				101	5	10	-1	-1	0	0	0
¶¾·À8				101	5	15	-1	-1	0	0	0
ÄÚÁ¦5				89	80	120	-1	-1	0	0	0
ÅÜËÙ7				111	20	30	-1	-1	0	0	0
¼õÉÙ±ù¶³Ê±¼ä6				106	20	30	-1	-1	0	0	0
È«¿¹6				114	2	5	-1	-1	0	0	0
ÉúÃü6				85	60	80	-1	-1	0	0	0
ÄÚÁ¦6				89	60	80	-1	-1	0	0	0
ÉúÃü7				85	33	33	-1	-1	0	0	0
ÆÕ·À8				104	30	30	-1	-1	0	0	0
´ò»÷»Ø¸´6				113	50	50	-1	-1	0	0	0
ÉúÃü8				85	187	187	-1	-1	0	0	0
È«¿¹7				114	20	20	-1	-1	0	0	0
»ð·À8				102	11	11	-1	-1	0	0	0
ÄÚÁ¦7				89	88	88	-1	-1	0	0	0
Íâ¹¦6				99	2	2	-1	-1	0	0	0
ÌåÁ¦5				93	41	41	-1	-1	0	0	0
ÆÕ·À9				104	25	25	-1	-1	0	0	0
ÉúÃü9				85	68	68	-1	-1	0	0	0
¼õÉÙ±ù¶³Ê±¼ä7				106	20	20	-1	-1	0	0	0
ÉúÃü10				85	30	30	-1	-1	0	0	0
À×·À7				103	30	30	-1	-1	0	0	0
ÌåÁ¦6				93	96	96	-1	-1	0	0	0
»ØÌå5				96	2	2	-1	-1	0	0	0
¼õÉÙ±ù¶³Ê±¼ä8				106	100	100	-1	-1	0	0	0
ÌåÁ¦7				93	17	17	-1	-1	0	0	0
ÉúÃü11				85	41	41	-1	-1	0	0	0
»ð·À9				102	25	25	-1	-1	0	0	0
ÅÜËÙ8				111	37	37	-1	-1	0	0	0
Íâ¹¦7				99	6	6	-1	-1	0	0	0
ÄÚÁ¦8				89	69	69	-1	-1	0	0	0
Íâ¹¦8				99	4	4	-1	-1	0	0	0
ÃüÖÐ5				166	249	249	-1	-1	0	0	0
ÍâÆÕ%5				126	94	94	-1	-1	6	6	0
ÍâÆÕµãÊý4				121	31	31	-1	-1	0	0	0
ÎüÑª4				136	7	7	-1	-1	0	0	0
Íâ±ùµãÊý4				123	115	115	-1	-1	0	0	0
ÉúÃü12				85	181	181	-1	-1	0	0	0
»ØÑª5				88	6	6	-1	-1	0	0	0
¼õÉÙ±ù¶³Ê±¼ä9				106	40	40	-1	-1	0	0	0
ÄÚÁ¦9				89	139	139	-1	-1	0	0	0
Éí·¨7				98	20	20	-1	-1	0	0	0
´ò»÷»Ø¸´7				113	40	40	-1	-1	0	0	0
»ØÑª6				88	5	5	-1	-1	0	0	0
¼õÉÙÑ£ÔÎÊ±¼ä5				110	40	40	-1	-1	0	0	0
ÉúÃü13				85	188	188	-1	-1	0	0	0
ÉúÃü14				85	187	187	-1	-1	0	0	0
ÄÚÁ¦10				89	191	191	-1	-1	0	0	0
ÉúÃü15				85	180	180	-1	-1	0	0	0
ÄÚÁ¦11				89	132	132	-1	-1	0	0	0
ÅÜËÙ9				111	40	40	-1	-1	0	0	0
ÉúÃü16				85	200	200	-1	-1	0	0	0
Íâ¹¦9				99	19	19	-1	-1	0	0	0
¾­Ñé1				176	15	25	-1	-1	0	0	0
È«¿¹8				114	8	12	-1	-1	0	0	0
¼õÉÙÖÐ¶¾Ê±¼ä5				108	50	80	-1	-1	0	0	0
¼õÉÙÑ£ÔÎÊ±¼ä6				110	30	40	-1	-1	0	0	0
ÉúÃü17				85	200	300	-1	-1	0	0	0
À×·À8				103	30	35	-1	-1	0	0	0
¼õÉÙÖÐ¶¾Ê±¼ä6				108	30	50	-1	-1	0	0	0
ÄÚÁ¦12				89	200	300	-1	-1	0	0	0
±ùÐÄÏÉ×Ó				139	1	3	-1	-1	337	337	0
¼õÉÙÑ£ÔÎÊ±¼ä7				110	30	50	-1	-1	0	0	0
¶¾·À9				101	30	50	-1	-1	0	0	0
»áÐÄÒ»»÷ÂÊ1				70	3	5	-1	-1	0	0	0
»áÐÄÒ»»÷ÂÊ2				70	5	8	-1	-1	0	0	0
ÄÚ±ùÉË4				169	80	120	-1	-1	0	0	0
ÐþÌìÎÞ¼«				139	1	3	-1	-1	630	630	0
ÉúÃü18				85	299	299	-1	-1	0	0	0
ÄÚÁ¦13				89	299	299	-1	-1	0	0	0
ÉúÃü19				85	80	160	-1	-1	0	0	0
