XPOS	YPOS
55200	88032
55296	88032
55392	88032
54400	88288
54464	88320
54560	88352
54368	88384
54432	88448
54528	88480
54368	88544
54464	88576
55232	88160
55136	89056
55488	88064
55328	88160
55424	88192
55296	88288
55392	88352
54208	89568
54208	89664
54208	89792
54272	89568
54336	89568
54272	89664
54336	89664
54272	89792
54336	89792
55072	89088
54912	89120
55008	89152
55104	89216
55040	89248
54944	89280
55104	89376
55008	89408
55520	89824
55456	89856
55392	89920
55296	89984
55456	89984
55360	90048
56416	89184
56480	89280
56320	89408
56544	89408
56352	89536
56384	89664
54240	90976
54272	90816
54592	90912
54560	91040
55264	90112
54912	90304
54976	90336
54816	90400
54912	90432
54848	90528
55296	90176
56608	90880
56704	90880
56768	90976
57024	90528
57152	90624
57216	90752
57312	90816
56896	91104
54240	91136
54528	91232
54528	91360
54368	92128
56960	91168
57600	92128
58144	91968
58240	92032
58144	92064
58304	92096
58208	92128
54208	92160
54208	92288
54304	92160
54304	92288
54400	92288
57504	92192
57440	92256
57664	92288
57568	92320
57504	92384
58272	92224
53856	93472
54208	93472
53856	93632
54208	93696
53856	93824
54208	93888
53856	94016
54208	94048
57536	93920
57600	94016
57504	94048
57664	94080
57568	94112
57728	94176
58784	93952
58784	94080
58912	93920
58912	94048
58912	94176
53856	95008
54176	95008
53824	95136
54176	95136
56800	95200
56832	95040
56896	95104
56960	95200
57632	94208
57792	94272
57664	94304
57728	94400
57792	94464
57856	94368
58336	95104
58784	94240
58496	95008
58432	95072
58496	95168
58912	94336
53824	95264
54176	95296
54176	95392
53824	95456
56096	95776
55968	95936
55904	96032
55872	96192
56672	95232
56736	95328
56608	96032
56480	96128
56384	96224
56864	95296
56832	95424
58432	95232
58496	95360
59168	95616
59264	95648
59232	95744
59328	95744
56288	96352
59040	96608
59040	96704
59232	96736
59040	96832
59232	96832
59040	96928
59296	96928
59328	96992
57632	98080
57696	98112
57600	98208
59648	97472
59680	97568
59424	97600
59456	97696
59712	97696
59712	97792
59488	97824
59520	97952
55776	99168
56160	98816
55872	99296
56320	98912
56448	98976
56544	99072
56992	99136
56960	99264
57824	98304
57728	98336
57824	98496
57504	98656
57600	98720
57472	98784
57568	98848
57888	98464
57952	99232
59072	98656
58976	98784
59168	98784
58880	98880
59072	98880
58976	98976
59840	98592
59872	98720
59840	98784
59872	98912
59936	98816
59968	98944
56032	99392
56160	99424
57088	99360
56960	99488
57184	99488
57120	99616
57728	100000
57824	100160
57984	99424
57888	100064
57984	100288
58752	99776
58720	99968
58624	100064
59360	99552
59328	99712
59456	99392
59552	99424
59840	99488
59456	99552
59520	99584
59840	99616
59392	99712
59456	99776
59840	99776
59936	99488
60032	99488
59936	99616
60032	99616
59936	99776
60032	99776
57888	100352
58720	100736
58816	100768
58624	100864
58784	100864
58784	101024
59232	100800
59360	100800
58880	100864
59264	100928
59808	100544
59840	100672
59488	100800
59424	100928
59904	100544
59968	100544
59904	100672
