MapId	X	Y	NpcRes	NpcName	NpcScript	TaskId
11	3367	5120	1597	KiÕm T©m H¶i §­êng	\script\activitysys\config\32\gatherobj.lua	1
11	3376	5119	1597	KiÕm T©m H¶i §­êng	\script\activitysys\config\32\gatherobj.lua	1
11	3367	5129	1597	KiÕm T©m H¶i §­êng	\script\activitysys\config\32\gatherobj.lua	1
11	3352	5125	1597	KiÕm T©m H¶i §­êng	\script\activitysys\config\32\gatherobj.lua	1
162	1778	2974	1598	HiÖp H­¬ng Th¶o	\script\activitysys\config\32\gatherobj.lua	2
162	1788	2974	1598	HiÖp H­¬ng Th¶o	\script\activitysys\config\32\gatherobj.lua	2
162	1794	2960	1598	HiÖp H­¬ng Th¶o	\script\activitysys\config\32\gatherobj.lua	2
162	1798	2952	1598	HiÖp H­¬ng Th¶o	\script\activitysys\config\32\gatherobj.lua	2
80	1862	3184	1599	T×nh NghÜa Kim Lan	\script\activitysys\config\32\gatherobj.lua	3
80	1857	3188	1599	T×nh NghÜa Kim Lan	\script\activitysys\config\32\gatherobj.lua	3
80	1879	3188	1599	T×nh NghÜa Kim Lan	\script\activitysys\config\32\gatherobj.lua	3
80	1878	3201	1599	T×nh NghÜa Kim Lan	\script\activitysys\config\32\gatherobj.lua	3
1	1483	3476	1600	Duyªn Tr­êng Thanh Liªn	\script\activitysys\config\32\gatherobj.lua	4
1	1487	3485	1600	Duyªn Tr­êng Thanh Liªn	\script\activitysys\config\32\gatherobj.lua	4
1	1495	3478	1600	Duyªn Tr­êng Thanh Liªn	\script\activitysys\config\32\gatherobj.lua	4
1	1497	3489	1600	Duyªn Tr­êng Thanh Liªn	\script\activitysys\config\32\gatherobj.lua	4
341	1238	2413	1598	Cá T­¬i	\script\global\pgaming\nangcapngua\cotuoi2.lua	1
341	1552	2410	1598	Cá T­¬i	\script\global\pgaming\nangcapngua\cotuoi3.lua	1
341	1554	3186	1598	Cá T­¬i	\script\global\pgaming\nangcapngua\cotuoi4.lua	1
341	1244	3124	1598	Cá T­¬i	\script\global\pgaming\nangcapngua\cotuoi1.lua	1
1009	1404	2357	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1384	2352	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1356	2362	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1313	2342	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1292	2369	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1316	2407	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1337	2442	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1357	2462	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1391	2473	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1394	2525	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1365	2554	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1325	2558	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1290	2547	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1240	2534	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1208	2483	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1212	2436	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1244	2409	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1259	2358	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1204	2341	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
